strategy,method_name,chi,month,days,total_eur,required_activation_mwh,undelivered_activation_mwh,undelivered_activation_share
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,2026-06,30,103607.977771,207.981600185,12.9118847594,0.0620818608373
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,2026-07,31,61347.2524016,175.072134684,13.2236829838,0.0755327682941
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,2026-08,26,50450.585466,139.963847039,8.51240140087,0.0608185726598
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,2026-01,4,16321.7982325,23.9818757764,3.99999999723e-06,1.66792624335e-07
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,2026-02,28,99571.2612447,316.457294928,21.4279736429,0.0677120546321
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,2026-03,31,120697.577257,413.75839205,62.2125888289,0.150359702726
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,2026-04,30,94822.6931473,357.089682149,58.6233577377,0.164169844911
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,2026-05,31,95062.5633035,306.908745494,10.6042933731,0.03455194265
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,2026-06,30,97279.9516065,211.281216608,13.9798019486,0.0661667997423
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,2026-07,31,58675.0691024,173.169974826,11.0234366111,0.0636567431635
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,2026-08,26,53990.6042247,161.072059893,7.0011907231,0.0434662021938
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,2026-01,4,15866.7821579,23.0597983062,4.000000001e-06,1.73462054954e-07
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,2026-02,28,95331.8546666,306.861623651,21.4554791943,0.0699190695109
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,2026-03,31,118162.729549,406.338135256,59.9286251888,0.147484619309
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,2026-04,30,92262.1808809,351.622367603,57.0906818944,0.162363624031
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,2026-05,31,93960.0214268,300.343959566,9.8467595779,0.0327849429439
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,2026-06,30,96939.1743292,201.426137757,13.2532044108,0.0657968452274
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,2026-07,31,59038.5807902,165.268313113,9.68407310812,0.058596066758
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,2026-08,26,54775.2860879,151.239308186,5.89758455342,0.0389950511157
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,2026-01,4,12569.3739617,20.7637479948,3.99999999989e-06,1.92643447652e-07
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,2026-02,28,101191.604929,311.797685569,21.5109272539,0.0689900158001
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,2026-03,31,121171.525622,410.199907188,57.6493542255,0.140539656922
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,2026-04,30,93406.4397716,357.644744197,51.0391110621,0.142708964385
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,2026-05,31,96624.6507978,304.252394925,10.0649679696,0.0330809819003
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,2026-06,30,100767.45397,210.799323655,12.1967333714,0.0578594521082
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,2026-07,31,57068.5529011,173.948554662,12.141865606,0.0698014745197
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,2026-08,26,54041.0879029,165.455164854,7.93778213079,0.0479754266831
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,2026-01,4,12346.7904622,20.5627670332,4.00000000144e-06,1.9452634925e-07
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,2026-02,28,100157.103661,312.08021082,22.0531227866,0.0706649188959
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,2026-03,31,121238.881757,409.764287749,57.6662826129,0.140730376797
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,2026-04,30,93977.7503062,359.534009636,51.0245010466,0.14191842685
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,2026-05,31,93056.7936857,303.746438856,10.1001940004,0.0332520573359
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,2026-06,30,99380.2021421,207.61638404,12.6411262192,0.0608869395239
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,2026-07,31,57006.3807791,169.7847178,10.6518347453,0.0627372998189
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,2026-08,26,54339.2706102,164.224356992,8.04331236554,0.048977584768
B3_hist_paired_shortfall,Historical paired-scenario economic-shortfall dispatch,0,2026-01,4,18519.6825819,29.2480537844,0.183408575853,0.00627079590338
B3_hist_paired_shortfall,Historical paired-scenario economic-shortfall dispatch,0,2026-02,28,105202.102479,381.323692798,35.7549398446,0.0937653246307
B3_hist_paired_shortfall,Historical paired-scenario economic-shortfall dispatch,0,2026-03,31,123056.487946,469.823595308,80.081839495,0.170450867719
B3_hist_paired_shortfall,Historical paired-scenario economic-shortfall dispatch,0,2026-04,30,102071.200618,455.085682844,85.6766077982,0.188264784035
