scope,path,delivery_day,period,activation_state,information_set,activation_representation,delivery_days,evaluated_days,scenarios,valid_n,missing_n,availability_ok
premium_pool,,2026-02-19,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-02-19,5,0,gate_0730,,81,,,260,0,True
premium_pool,,2026-02-19,5,1,gate_0730,,81,,,1036,0,True
premium_pool,,2026-02-20,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-20,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-20,1,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-20,1,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-20,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-20,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-20,3,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-20,3,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-20,4,0,gate_0730,,81,,,140,0,True
premium_pool,,2026-02-20,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-02-20,5,0,gate_0730,,81,,,260,0,True
premium_pool,,2026-02-20,5,1,gate_0730,,81,,,1036,0,True
premium_pool,,2026-02-21,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-21,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-21,1,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-21,1,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-21,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-21,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-21,3,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-21,3,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-21,4,0,gate_0730,,81,,,140,0,True
premium_pool,,2026-02-21,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-02-21,5,0,gate_0730,,81,,,260,0,True
premium_pool,,2026-02-21,5,1,gate_0730,,81,,,1036,0,True
premium_pool,,2026-02-22,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-22,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-22,1,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-22,1,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-22,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-22,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-22,3,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-22,3,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-22,4,0,gate_0730,,81,,,140,0,True
premium_pool,,2026-02-22,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-02-22,5,0,gate_0730,,81,,,264,0,True
premium_pool,,2026-02-22,5,1,gate_0730,,81,,,1032,0,True
premium_pool,,2026-02-23,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-23,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-23,1,0,gate_0730,,81,,,84,0,True
premium_pool,,2026-02-23,1,1,gate_0730,,81,,,1212,0,True
premium_pool,,2026-02-23,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-23,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-23,3,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-23,3,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-23,4,0,gate_0730,,81,,,140,0,True
premium_pool,,2026-02-23,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-02-23,5,0,gate_0730,,81,,,272,0,True
premium_pool,,2026-02-23,5,1,gate_0730,,81,,,1024,0,True
premium_pool,,2026-02-24,0,0,gate_0730,,81,,,96,0,True
premium_pool,,2026-02-24,0,1,gate_0730,,81,,,1200,0,True
premium_pool,,2026-02-24,1,0,gate_0730,,81,,,84,0,True
premium_pool,,2026-02-24,1,1,gate_0730,,81,,,1212,0,True
premium_pool,,2026-02-24,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-24,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-24,3,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-24,3,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-24,4,0,gate_0730,,81,,,140,0,True
premium_pool,,2026-02-24,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-02-24,5,0,gate_0730,,81,,,268,0,True
premium_pool,,2026-02-24,5,1,gate_0730,,81,,,1028,0,True
premium_pool,,2026-02-25,0,0,gate_0730,,81,,,96,0,True
premium_pool,,2026-02-25,0,1,gate_0730,,81,,,1200,0,True
premium_pool,,2026-02-25,1,0,gate_0730,,81,,,84,0,True
premium_pool,,2026-02-25,1,1,gate_0730,,81,,,1212,0,True
premium_pool,,2026-02-25,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-25,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-25,3,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-25,3,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-25,4,0,gate_0730,,81,,,140,0,True
premium_pool,,2026-02-25,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-02-25,5,0,gate_0730,,81,,,272,0,True
premium_pool,,2026-02-25,5,1,gate_0730,,81,,,1024,0,True
premium_pool,,2026-02-26,0,0,gate_0730,,81,,,108,0,True
premium_pool,,2026-02-26,0,1,gate_0730,,81,,,1188,0,True
premium_pool,,2026-02-26,1,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-26,1,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-26,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-26,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-26,3,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-26,3,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-26,4,0,gate_0730,,81,,,152,0,True
premium_pool,,2026-02-26,4,1,gate_0730,,81,,,1144,0,True
premium_pool,,2026-02-26,5,0,gate_0730,,81,,,276,0,True
premium_pool,,2026-02-26,5,1,gate_0730,,81,,,1020,0,True
premium_pool,,2026-02-27,0,0,gate_0730,,81,,,108,0,True
premium_pool,,2026-02-27,0,1,gate_0730,,81,,,1188,0,True
premium_pool,,2026-02-27,1,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-27,1,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-27,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-27,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-27,3,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-27,3,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-27,4,0,gate_0730,,81,,,160,0,True
premium_pool,,2026-02-27,4,1,gate_0730,,81,,,1136,0,True
premium_pool,,2026-02-27,5,0,gate_0730,,81,,,292,0,True
premium_pool,,2026-02-27,5,1,gate_0730,,81,,,1004,0,True
premium_pool,,2026-02-28,0,0,gate_0730,,81,,,108,0,True
premium_pool,,2026-02-28,0,1,gate_0730,,81,,,1188,0,True
premium_pool,,2026-02-28,1,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-28,1,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-28,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-28,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-28,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-28,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-28,4,0,gate_0730,,81,,,164,0,True
premium_pool,,2026-02-28,4,1,gate_0730,,81,,,1132,0,True
premium_pool,,2026-02-28,5,0,gate_0730,,81,,,296,0,True
