arm,method_name,seed,target,evaluation_set,n_days,fit_window_empirical_resolution,extrapolated_quantile_levels,extrapolation_note,activation_positive_q99_note,quantile_level,exceedance_frequency,pressure_exceedance_frequency,n_valid,n_pressure
empirical_copula,Empirical-copula scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0456539074960127,0.3304843304843304,5016,351
empirical_copula,Empirical-copula scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0588118022328548,0.5056497175141242,5016,354
empirical_copula,Empirical-copula scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.0452551834130781,0.4265536723163842,5016,354
empirical_copula,Empirical-copula scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0823604330290808,,4711,0
empirical_copula,Empirical-copula scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0299299511780938,,4711,0
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1425750394944707,,5064,0
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1253949447077409,,5064,0
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.072867298578199,0.4649859943977591,5064,357
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0513428120063191,0.3641456582633053,5064,357
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0687203791469194,0.5621468926553672,5064,354
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.0485781990521327,0.4548022598870056,5064,354
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0630517023959646,,4758,0
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0235393022278268,,4758,0
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.143341307814992,,5016,0
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1261961722488038,,5016,0
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0715709728867623,0.4729344729344729,5016,351
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0498405103668261,0.3703703703703703,5016,351
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0687799043062201,0.5621468926553672,5016,354
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.048444976076555,0.4548022598870056,5016,354
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0626194014009764,,4711,0
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0235618764593504,,4711,0
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1423775671406003,,5064,0
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1248025276461295,,5064,0
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0720774091627172,0.4705882352941176,5064,357
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0503554502369668,0.3529411764705882,5064,357
