arm,method_name,target,evaluation_set,n_days,month,interval_level,coverage,coverage_deviation,average_width,n_valid
hist_paired,Historical paired scenarios,activation_volume,common_209,209,2026-03,0.9,0.8951612903225806,-0.0048387096774193,39.207274760132,744
hist_paired,Historical paired scenarios,activation_volume,common_209,209,2026-04,0.9,0.8777777777777778,-0.0222222222222222,44.81073051944102,720
hist_paired,Historical paired scenarios,activation_volume,common_209,209,2026-05,0.9,0.8936781609195402,-0.0063218390804598,49.09845471684579,696
hist_paired,Historical paired scenarios,activation_volume,common_209,209,2026-06,0.9,0.9125,0.0124999999999999,50.095118020430014,720
hist_paired,Historical paired scenarios,activation_volume,common_209,209,2026-07,0.9,0.9422043010752688,0.0422043010752688,46.49661302472281,744
hist_paired,Historical paired scenarios,activation_volume,common_209,209,2026-08,0.9,0.9102564102564102,0.0102564102564102,42.30874864104537,624
hist_paired,Historical paired scenarios,activation_price,common_209,209,2026-02,0.9,0.9019933554817277,0.0019933554817275,413.20706327773394,602
hist_paired,Historical paired scenarios,activation_price,common_209,209,2026-03,0.9,0.8020527859237536,-0.0979472140762464,327.61813960886406,682
hist_paired,Historical paired scenarios,activation_price,common_209,209,2026-04,0.9,0.7961309523809523,-0.1038690476190477,435.4379559522227,672
hist_paired,Historical paired scenarios,activation_price,common_209,209,2026-05,0.9,0.8335832083958021,-0.0664167916041978,406.88746242329256,667
hist_paired,Historical paired scenarios,activation_price,common_209,209,2026-06,0.9,0.776824034334764,-0.123175965665236,383.0590555916696,699
hist_paired,Historical paired scenarios,activation_price,common_209,209,2026-07,0.9,0.8575458392101551,-0.0424541607898448,333.53315697369504,709
hist_paired,Historical paired scenarios,activation_price,common_209,209,2026-08,0.9,0.8512396694214877,-0.0487603305785123,351.17526874403546,605
hist_independent,Historical independent scenarios,day_ahead_price,main_211,211,2026-02,0.9,0.90625,0.0062499999999999,113.6673623372368,672
hist_independent,Historical independent scenarios,day_ahead_price,main_211,211,2026-03,0.9,0.532258064516129,-0.367741935483871,101.69010935887214,744
hist_independent,Historical independent scenarios,day_ahead_price,main_211,211,2026-04,0.9,0.5819444444444445,-0.3180555555555555,93.85499694380276,720
hist_independent,Historical independent scenarios,day_ahead_price,main_211,211,2026-05,0.9,0.793010752688172,-0.106989247311828,118.06877492852696,744
hist_independent,Historical independent scenarios,day_ahead_price,main_211,211,2026-06,0.9,0.7722222222222223,-0.1277777777777777,125.30302740160069,720
hist_independent,Historical independent scenarios,day_ahead_price,main_211,211,2026-07,0.9,0.7271505376344086,-0.1728494623655914,123.65440464643363,744
hist_independent,Historical independent scenarios,day_ahead_price,main_211,211,2026-08,0.9,0.6266025641025641,-0.2733974358974359,125.5314790134798,624
hist_independent,Historical independent scenarios,capacity_price,main_211,211,2026-02,0.9,0.4985119047619047,-0.4014880952380952,61.53105110035587,672
