,datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,date,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
1013,2024-08-02 03:00:00+00:00,183.33287048339844,-45.027137756347656,4.93,6.633333333333334,2.6116666666666664,0.0,1004.8911111111112,15.286666666666664,93.81111111111112,249.0611111111111,2024-08-02,29.0,13.98,0,30191.67,3847483.846,29398.0
1014,2024-08-02 04:00:00+00:00,183.33287048339844,-37.19108581542969,7.45,7.588888888888889,2.513888888888889,0.0,1004.9455555555556,15.622222222222222,92.7777777777778,259.26666666666665,2024-08-02,27.08,17.02,0,31751.65,4241639.663,31304.6
1015,2024-08-02 05:00:00+00:00,153.04322814941406,-3.027170181274414,12.57,7.466666666666667,2.783888888888889,0.1066666666666666,1004.97,16.15222222222222,91.05555555555556,259.32222222222225,2024-08-02,15.0,16.22,0,33359.69,4511013.315,32578.2
1016,2024-08-02 06:00:00+00:00,167.71151733398438,-5.492875099182129,18.0,7.488888888888889,2.9322222222222223,0.0,1004.9733333333334,16.72888888888889,87.95555555555555,253.13333333333333,2024-08-02,15.32,16.22,0,34591.63,4689774.921,33655.5
1017,2024-08-02 07:00:00+00:00,115.53697204589844,-5.492875099182129,19.2,7.311111111111112,3.092222222222222,0.0,1005.1033333333334,17.423333333333336,84.35555555555555,258.8333333333333,2024-08-02,10.59,14.35,0,35324.34,4761638.837,34194.9
1018,2024-08-02 08:00:00+00:00,121.39925384521484,-1.6646099090576172,19.19,6.844444444444445,3.4066666666666663,0.0133333333333333,1005.2144444444444,18.067777777777778,80.0,241.94444444444443,2024-08-02,13.76,14.04,0,35679.77,4815811.267,34586.0
1019,2024-08-02 09:00:00+00:00,29.559999465942383,-15.204339981079102,19.3,6.666666666666667,3.29,0.0,1005.2411111111112,18.563333333333333,76.47777777777779,207.74444444444444,2024-08-02,20.54,14.04,0,35362.42,4823579.99,34844.9
1020,2024-08-02 10:00:00+00:00,25.770000457763672,-14.943735122680664,14.34,6.7,3.3616666666666664,0.0,1005.0644444444443,19.02111111111111,74.37777777777778,196.5833333333333,2024-08-02,21.68,11.16,0,34169.71,4743752.77,34660.600000000006
1021,2024-08-02 11:00:00+00:00,36.23251724243164,-13.825170516967772,14.94,6.877777777777778,3.495555555555556,0.1266666666666666,1005.098888888889,18.96555555555556,75.71111111111112,213.1555555555556,2024-08-02,23.04,11.4,0,33300.22,4642565.7,34309.8
1022,2024-08-02 12:00:00+00:00,147.975341796875,-3.455130100250244,14.82,6.011111111111111,3.57,0.1066666666666666,1005.1544444444444,19.44,73.67777777777778,232.6555555555556,2024-08-02,21.8,11.16,0,25029.13,4589829.235,34225.2
1023,2024-08-02 13:00:00+00:00,42.40992736816406,-8.49389362335205,17.23,6.211111111111111,3.493333333333333,0.0666666666666666,1005.1311111111112,19.37333333333333,73.64444444444445,200.11111111111111,2024-08-02,21.62,11.16,0,32823.64,4588468.603,34159.9
1024,2024-08-02 14:00:00+00:00,41.92424774169922,-4.543285369873047,19.7,6.711111111111111,3.0222222222222226,0.3133333333333333,1005.1466666666668,18.774444444444445,78.31111111111112,193.8,2024-08-02,20.84,14.04,0,32333.81,4588522.002,34053.3
