target,forecast_origin_utc,horizon_hour,timestamp_utc,actual,forecast
Down,2025-02-10T22:00:00+00:00,27,2025-02-12T01:00:00+00:00,1.5299999713897705,-13.46978884689551
Down,2025-02-10T22:00:00+00:00,28,2025-02-12T02:00:00+00:00,1.649999976158142,-15.56066376756136
Down,2025-02-10T22:00:00+00:00,29,2025-02-12T03:00:00+00:00,1.6166666746139526,-18.259696889045703
Down,2025-02-10T22:00:00+00:00,30,2025-02-12T04:00:00+00:00,6.090000152587891,-17.092294939762592
Down,2025-02-10T22:00:00+00:00,31,2025-02-12T05:00:00+00:00,11.229999542236328,-11.575758908267545
Down,2025-02-10T22:00:00+00:00,32,2025-02-12T06:00:00+00:00,76.28500366210938,-15.100000293917663
Down,2025-02-10T22:00:00+00:00,33,2025-02-12T07:00:00+00:00,37.22999954223633,-14.999147653232825
Down,2025-02-10T22:00:00+00:00,34,2025-02-12T08:00:00+00:00,136.00999450683594,-13.369527804740574
Down,2025-02-10T22:00:00+00:00,35,2025-02-12T09:00:00+00:00,136.00999450683594,-11.032464798801062
Down,2025-02-10T22:00:00+00:00,36,2025-02-12T10:00:00+00:00,136.00999450683594,-21.209279544718722
Down,2025-02-10T22:00:00+00:00,37,2025-02-12T11:00:00+00:00,136.00999450683594,-21.593330054700637
Down,2025-02-10T22:00:00+00:00,38,2025-02-12T12:00:00+00:00,31.51000022888184,-10.015938215761564
Down,2025-02-10T22:00:00+00:00,39,2025-02-12T13:00:00+00:00,15.029999732971191,-9.826066321619859
Down,2025-02-10T22:00:00+00:00,40,2025-02-12T14:00:00+00:00,38.47999954223633,-16.199884453743643
Down,2025-02-10T22:00:00+00:00,41,2025-02-12T15:00:00+00:00,53.026668548583984,-19.041187953198193
Down,2025-02-10T22:00:00+00:00,42,2025-02-12T16:00:00+00:00,22.725000381469727,-18.34206724004258
Down,2025-02-10T22:00:00+00:00,43,2025-02-12T17:00:00+00:00,7.960000038146973,-13.571731909351332
Down,2025-02-10T22:00:00+00:00,44,2025-02-12T18:00:00+00:00,25.32749938964844,-14.944084686958677
Down,2025-02-10T22:00:00+00:00,45,2025-02-12T19:00:00+00:00,16.817501068115234,-15.501047806419598
Down,2025-02-10T22:00:00+00:00,46,2025-02-12T20:00:00+00:00,5.284999847412109,-14.071018497165225
Down,2025-02-10T22:00:00+00:00,47,2025-02-12T21:00:00+00:00,2.4649999141693115,-24.132367301057645
Down,2025-02-10T22:00:00+00:00,48,2025-02-12T22:00:00+00:00,2.6499998569488525,-24.117913257150484
Down,2025-02-12T22:00:00+00:00,1,2025-02-12T23:00:00+00:00,4.802499771118164,-0.6684197466613804
Down,2025-02-12T22:00:00+00:00,2,2025-02-13T00:00:00+00:00,5.875,1.6586038908181793
Down,2025-02-12T22:00:00+00:00,3,2025-02-13T01:00:00+00:00,7.050000190734863,5.07287185395161
